Open Date,Close Date,Symbol,Action,Lots,SL,TP,Open Price,Close Price,Pips,Profit,Duration (DD:HH:MM:SS),Gain
18.02.2025 16:11:00,18.02.2025 16:30:00,XAUUSD.STD,Buy,0.1,2915.95,2923.45,2921.94,2923.63,169,16.9,00:00:19:00,0.48%
18.02.2025 14:46:23,18.02.2025 15:44:07,XAUUSD.STD,Buy,0.1,2912.99,2920.49,2918.99,2920.51,152,15.2,00:00:57:44,0.43%
18.02.2025 13:55:08,18.02.2025 14:41:20,XAUUSD.STD,Buy,0.1,2908.55,2916.05,2914.45,2916.35,190,19,00:00:46:12,0.54%
17.02.2025 14:37:25,17.02.2025 16:49:38,XAUUSD.STD,Buy,0.1,2893.5,2901,2899.5,2901,150,15,00:02:12:13,0.43%
17.02.2025 14:05:23,17.02.2025 14:12:43,XAUUSD.STD,Sell,0.1,2904.41,2896.91,2898.43,2896.91,152,15.2,00:00:07:20,0.44%
17.02.2025 13:10:33,17.02.2025 13:19:35,XAUUSD.STD,Sell,0.1,2906.25,2898.75,2900.25,2898.68,157,15.7,00:00:09:02,0.45%
14.02.2025 16:47:58,14.02.2025 16:48:17,XAUUSD.STD,Sell,0.1,2926.83,2919.33,2920.83,2919.32,151,15.1,00:00:00:19,0.44%
14.02.2025 16:32:47,14.02.2025 16:36:36,XAUUSD.STD,Sell,0.1,2930.16,2922.66,2924.16,2922.53,163,16.3,00:00:03:49,0.48%
14.02.2025 16:18:37,14.02.2025 16:21:25,XAUUSD.STD,Buy,0.1,2918.71,2926.21,2924.71,2926.39,168,16.8,00:00:02:48,0.49%
14.02.2025 16:01:07,14.02.2025 16:01:22,XAUUSD.STD,Sell,0.1,2923.85,2916.35,2917.84,2915.94,190,19,00:00:00:15,0.56%
14.02.2025 15:45:21,14.02.2025 15:53:18,XAUUSD.STD,Buy,0.1,2914.69,2922.19,2920.69,2922.2,151,15.1,00:00:07:57,0.45%
14.02.2025 15:18:09,14.02.2025 15:33:23,XAUUSD.STD,Buy,0.1,2924.12,2931.62,2930.12,2931.62,150,15,00:00:15:14,0.45%
14.02.2025 15:03:16,14.02.2025 15:05:19,XAUUSD.STD,Sell,0.1,2934.37,2926.87,2928.37,2926.29,208,20.8,00:00:02:03,0.62%
14.02.2025 14:38:49,14.02.2025 14:43:44,XAUUSD.STD,Sell,0.1,2935.45,2927.95,2929.45,2927.95,150,15,00:00:04:55,0.45%
14.02.2025 13:47:03,14.02.2025 13:48:23,XAUUSD.STD,Sell,0.1,2937.46,2929.96,2931.48,2929.94,154,15.4,00:00:01:20,0.47%
13.02.2025 16:50:36,13.02.2025 17:03:24,XAUUSD.STD,Buy,0.1,2910.96,2918.46,2916.96,2918.48,152,15.2,00:00:12:48,0.46%
